ID, Name, Org Name, Total Networks Searched, Time Frame, Reason, Case #, Search Time, Search Type,Search Date,Search Time, , 
d9e52a5b-33e8-46d5-b90b-48dce54ae789,Christopher Todd,South Portland ME PD,8.0,"03/07/2026, 08:00:12 PM UTC
03/14/2026, 08:00:12 PM UTC",Burglary/Breaking & Entering - File 1/Burglary assist for WPD,WEST PD,"03/14/2026, 07:39:15 PM UTC",lookup,2026-03-14 00:00:00,07:39:15,PM,UTC
f5cb3e85-3951-4f7d-b17e-f16d04f11516,Christopher Todd,South Portland ME PD,8.0,"03/07/2026, 08:00:12 PM UTC
03/14/2026, 08:00:12 PM UTC",Burglary/Breaking & Entering - File 1/Burglary assist for WPD,WEST PD,"03/14/2026, 07:40:03 PM UTC",lookup,2026-03-14 00:00:00,07:40:03,PM,UTC
792a7587-0996-4154-a940-18552a322b97,Christopher Todd,South Portland ME PD,2.0,"03/07/2026, 08:00:16 PM UTC
03/14/2026, 08:00:16 PM UTC",Burglary/Breaking & Entering - File 1/Burglary assist for WPD,WEST PD,"03/14/2026, 07:38:46 PM UTC",lookup,2026-03-14 00:00:00,07:38:46,PM,UTC
b6bb1c1b-5736-4921-839f-e0f45d3fb52a,Jeff Levesque,South Portland ME PD,8.0,"02/10/2026, 06:30:26 PM UTC
03/12/2026, 06:30:26 PM UTC",Motor Vehicle Theft/Stolen - portland,,"03/12/2026, 06:28:29 PM UTC",lookup,2026-03-12 00:00:00,06:28:29,PM,UTC
83477561-2ce7-4f59-ad55-36526d238893,Jeff Levesque,South Portland ME PD,5798.0,"02/10/2026, 06:30:05 PM UTC
03/12/2026, 06:30:05 PM UTC",Drugs/Narcotics - MSP via MIAC,,"03/12/2026, 06:29:06 PM UTC",lookup,2026-03-12 00:00:00,06:29:06,PM,UTC
498a41d7-e547-4b25-95d3-ecd4366f604c,Jeff Levesque,South Portland ME PD,5798.0,"02/10/2026, 06:30:05 PM UTC
03/12/2026, 06:30:05 PM UTC",Drugs/Narcotics - MSP via MIAC,,"03/12/2026, 06:29:23 PM UTC",lookup,2026-03-12 00:00:00,06:29:23,PM,UTC
4422f278-213e-48dd-a772-536ca430d3f0,Jeff Levesque,South Portland ME PD,8.0,"03/10/2026, 02:30:54 PM UTC
03/11/2026, 02:30:54 PM UTC",Assault/Battery Offenses (Domestic) - cape elizabeth,,"03/11/2026, 02:27:55 PM UTC",lookup,2026-03-11 00:00:00,02:27:55,PM,UTC
bbed0502-98db-4ef3-8379-6093e200712d,Jeff Levesque,South Portland ME PD,8.0,"02/09/2026, 01:30:48 PM UTC
03/11/2026, 01:30:48 PM UTC",Motor Vehicle Theft/Stolen - auburn,,"03/11/2026, 01:00:50 PM UTC",lookup,2026-03-11 00:00:00,01:00:50,PM,UTC
24bba874-0c14-436f-b76c-bf07f0e6cc96,Christopher Todd,South Portland ME PD,2.0,"03/10/2026, 05:00:00 PM UTC
03/10/2026, 06:00:00 PM UTC",City Planning/Traffic Analysis - Testing camera positions w/ control PD owned vehicle,,"03/10/2026, 06:34:07 PM UTC",lookup,2026-03-10 00:00:00,06:34:07,PM,UTC
f2054bdf-09eb-456e-bd9b-a7f38dfe79dd,Christopher Todd,South Portland ME PD,2.0,"03/10/2026, 05:00:00 PM UTC
03/10/2026, 06:00:00 PM UTC",City Planning/Traffic Analysis - Testing camera positions w/ control PD owned vehicle,,"03/10/2026, 06:35:32 PM UTC",lookup,2026-03-10 00:00:00,06:35:32,PM,UTC
2883405f-37dd-477f-821a-5980e1cf800b,Jeff Levesque,South Portland ME PD,8.0,"03/03/2026, 12:47:39 AM UTC
03/10/2026, 12:47:39 AM UTC",Motor Vehicle Theft/Stolen - Sopo,,"03/10/2026, 12:47:40 AM UTC",lookup - Mobile,2026-03-10 00:00:00,12:47:40,AM,UTC
31a153a7-21d6-4bcf-96a9-cd256162ea9c,Jeff Levesque,South Portland ME PD,8.0,"02/08/2026, 12:47:41 AM UTC
03/10/2026, 12:47:41 AM UTC",Motor Vehicle Theft/Stolen - Sopo,,"03/10/2026, 12:47:42 AM UTC",lookup - Mobile,2026-03-10 00:00:00,12:47:42,AM,UTC
e6022047-bd1d-45be-9de5-20a2cc27b76e,Jeff Levesque,South Portland ME PD,5796.0,"02/08/2026, 12:47:44 AM UTC
03/10/2026, 12:47:44 AM UTC",Motor Vehicle Theft/Stolen - Sopo,,"03/10/2026, 12:47:49 AM UTC",lookup - Mobile,2026-03-10 00:00:00,12:47:49,AM,UTC
fea28d54-70ed-4a8d-bc21-981c48da523b,Michael Armstrong,South Portland ME PD,2.0,"03/08/2026, 08:00:56 PM UTC
03/08/2026, 10:00:56 PM UTC",Motor Vehicle Theft/Stolen - Stolen,26004838.0,"03/08/2026, 10:00:43 PM UTC",lookup,2026-03-08 00:00:00,10:00:43,PM,UTC
e638b0dc-f87e-46f9-8f26-de8408f154be,Michael Armstrong,South Portland ME PD,5762.0,"03/02/2026, 12:00:54 AM UTC
03/09/2026, 12:00:54 AM UTC",Motor Vehicle Theft/Stolen - Stolen Vehicle,26004843.0,"03/08/2026, 11:48:57 PM UTC",lookup,2026-03-08 00:00:00,11:48:57,PM,UTC
15f5c17a-e866-44ef-aa92-5b3c40bade74,Michael Armstrong,South Portland ME PD,5762.0,"02/08/2026, 12:00:00 AM UTC
03/09/2026, 12:00:00 AM UTC",Motor Vehicle Theft/Stolen - Stolen Vehicle,26004843.0,"03/08/2026, 11:50:05 PM UTC",lookup,2026-03-08 00:00:00,11:50:05,PM,UTC
b9d21191-d280-4fd4-9328-c7fee275cb29,Kevin Theriault,South Portland ME PD,2.0,"03/05/2026, 10:57:24 PM UTC
03/06/2026, 10:57:24 PM UTC",Kidnapping/Abduction - Criminal investigation,26004692.0,"03/06/2026, 10:57:25 PM UTC",lookup - Mobile,2026-03-06 00:00:00,10:57:25,PM,UTC
2bcd5032-c1fb-4b94-8f6e-b80da5a42587,Jeff Levesque,South Portland ME PD,8.0,"02/04/2026, 08:00:28 PM UTC
03/06/2026, 08:00:28 PM UTC",Drugs/Narcotics - MIAC DEA,,"03/06/2026, 07:51:30 PM UTC",lookup,2026-03-06 00:00:00,07:51:30,PM,UTC
a3b96832-f467-481b-8368-5447fa454c57,Jeff Levesque,South Portland ME PD,8.0,"02/04/2026, 01:00:56 PM UTC
03/06/2026, 01:00:56 PM UTC",Terrorism/Terroristic Threats - Somerset County,,"03/06/2026, 12:54:59 PM UTC",lookup,2026-03-06 00:00:00,12:54:59,PM,UTC
4301be2b-4ee9-420e-809b-03b9b3290e6d,Christopher Todd,South Portland ME PD,2.0,"02/19/2026, 03:30:44 PM UTC
03/05/2026, 03:30:44 PM UTC",Extortion/Blackmail - Assist other agency investigation,NH assist,"03/05/2026, 03:27:55 PM UTC",lookup,2026-03-05 00:00:00,03:27:55,PM,UTC
81dcf641-acf7-4bb8-b022-93db2579ae0f,Christopher Todd,South Portland ME PD,2.0,"02/19/2026, 03:30:44 PM UTC
03/05/2026, 03:30:44 PM UTC",Extortion/Blackmail - Assist other agency investigation,NH assist,"03/05/2026, 03:28:09 PM UTC",lookup,2026-03-05 00:00:00,03:28:09,PM,UTC
4aa42cf5-4911-4266-9144-7b8c1a66dbc1,Christopher Todd,South Portland ME PD,2.0,"02/19/2026, 03:30:44 PM UTC
03/05/2026, 03:30:44 PM UTC",Extortion/Blackmail - Assist other agency investigation,NH assist,"03/05/2026, 03:28:34 PM UTC",lookup,2026-03-05 00:00:00,03:28:34,PM,UTC
c474d6b5-647b-4ef9-a225-37f031949ca8,Christopher Todd,South Portland ME PD,2.0,"02/19/2026, 04:30:41 PM UTC
03/05/2026, 04:30:41 PM UTC",Wanted Person (Arrest Warrant/Fugitive) - Fugitive,,"03/05/2026, 04:23:43 PM UTC",lookup,2026-03-05 00:00:00,04:23:43,PM,UTC
79422446-6768-46cb-8727-acba2e592611,Christopher Todd,South Portland ME PD,2.0,"02/13/2026, 04:30:00 PM UTC
03/05/2026, 04:30:00 PM UTC",Wanted Person (Arrest Warrant/Fugitive) - Fugitive,,"03/05/2026, 04:24:51 PM UTC",lookup,2026-03-05 00:00:00,04:24:51,PM,UTC
103ef580-c188-4041-bfec-5435321b79ae,Jeff Levesque,South Portland ME PD,8.0,"02/02/2026, 06:30:58 PM UTC
03/04/2026, 06:30:58 PM UTC",Drugs/Narcotics - MDEA via MIAC,,"03/04/2026, 06:20:01 PM UTC",lookup,2026-03-04 00:00:00,06:20:01,PM,UTC
1deb4f57-a3aa-4255-b98b-f80196e0591c,Jonathan Stearns,South Portland ME PD,2.0,"03/04/2026, 02:00:30 PM UTC
03/04/2026, 04:00:30 PM UTC",Drugs/Narcotics - assist other,,"03/04/2026, 03:40:00 PM UTC",lookup,2026-03-04 00:00:00,03:40:00,PM,UTC
882da760-4e5a-4f6d-bc7f-01c8b885cbd2,Jonathan Stearns,South Portland ME PD,2.0,"02/26/2026, 02:00:00 PM UTC
03/04/2026, 04:00:00 PM UTC",Drugs/Narcotics - assist other,,"03/04/2026, 03:40:08 PM UTC",lookup,2026-03-04 00:00:00,03:40:08,PM,UTC
19107fd3-4cc1-42bf-a3e9-cf8daf7cc644,Jonathan Stearns,South Portland ME PD,2.0,"02/28/2026, 02:00:00 PM UTC
03/01/2026, 04:30:00 AM UTC",Drugs/Narcotics - assist other,,"03/04/2026, 04:03:22 PM UTC",lookup,2026-03-04 00:00:00,04:03:22,PM,UTC
d9e93fc2-e985-4bec-9d3e-0425dd82abc0,Jonathan Stearns,South Portland ME PD,2.0,"02/28/2026, 02:00:00 PM UTC
03/01/2026, 04:30:00 AM UTC",Drugs/Narcotics - assist other,,"03/04/2026, 04:03:39 PM UTC",lookup,2026-03-04 00:00:00,04:03:39,PM,UTC
25620209-ee29-4141-ba3b-3901b3364ad7,Jonathan Stearns,South Portland ME PD,2.0,"02/28/2026, 02:00:00 PM UTC
03/01/2026, 04:30:00 AM UTC",Drugs/Narcotics - assist other,,"03/04/2026, 04:03:54 PM UTC",lookup,2026-03-04 00:00:00,04:03:54,PM,UTC
f4a35137-cba9-4ccc-afe8-bd65257c019c,Michael Armstrong,South Portland ME PD,5802.0,"03/03/2026, 02:30:36 AM UTC
03/04/2026, 02:30:36 AM UTC",Larceny/Theft Offenses - Getaway vehicle,26004465.0,"03/04/2026, 02:31:05 AM UTC",lookup,2026-03-04 00:00:00,02:31:05,AM,UTC
