original_org_name,state,networks_im_sharing
Kingston TN PD,TN,South Portland ME PD
Albany County NY SO,NY,South Portland ME PD
Niagara Frontier Transit Authority (NFTA) PD,,South Portland ME PD
Kingston Township PA PD (Luzerne County),PA,South Portland ME PD
North Brunswick NJ PD,NJ,South Portland ME PD
Amherst Town NY PD,NY,South Portland ME PD
Monroe MI PD,MI,South Portland ME PD
Smithfield RI PD,RI,South Portland ME PD
Hillsborough County NH SO,NH,South Portland ME PD
Cape Elizabeth ME PD,ME,"South Portland ME PD,South Portland ME PD (Flex)"
Massachusetts State MA PD,MA,South Portland ME PD
Lackawanna County PA SO,PA,South Portland ME PD
Portsmouth NH PD,NH,"South Portland ME PD,South Portland ME PD (Flex)"
Cranbury NJ PD,NJ,South Portland ME PD
Lakeville MA PD,MA,South Portland ME PD
Bordentown TWP NJ PD,NJ,South Portland ME PD
Montgomery MA PD,MA,South Portland ME PD
East Hempfield Twp PA PD,PA,South Portland ME PD
Cheltenham Twp PA PD,PA,South Portland ME PD
Woodbury NJ PD,NJ,South Portland ME PD
Montgomery Township PA PD,PA,South Portland ME PD
Middletown DE PD,DE,South Portland ME PD
Wixom MI PD,MI,South Portland ME PD
Gastonia NC PD,NC,South Portland ME PD
Bedford VA PD,VA,South Portland ME PD
McKinney TX PD,TX,South Portland ME PD
Apex NC PD,NC,South Portland ME PD
Mountain City TN PD,TN,South Portland ME PD
Glastonbury CT PD,CT,South Portland ME PD
Loudoun County VA SO,VA,South Portland ME PD
Tompkins County NY Sheriff's Office,NY,South Portland ME PD
New Hampshire State Police,,South Portland ME PD
Nashua NH PD,NH,South Portland ME PD
NESPIN - New England State Police Information Network,,South Portland ME PD
Jackson County MS SO,MS,South Portland ME PD
Holyoke MA PD,MA,South Portland ME PD
Marlborough MA PD,MA,South Portland ME PD
Middletown Township PA PD,PA,South Portland ME PD
Washington County MD SO,MD,South Portland ME PD
Clark NJ PD,NJ,South Portland ME PD
Lonoke County AR SO,AR,South Portland ME PD
Wayne County TN SO,TN,South Portland ME PD
Kansas Highway Patrol,,South Portland ME PD
Hamilton County OH SO,OH,South Portland ME PD
Woodstock VA PD,VA,South Portland ME PD
Montgomery County TN SO,TN,South Portland ME PD
Greene County IN SO,IN,South Portland ME PD
Kenosha WI PD,WI,South Portland ME PD
Richmond Heights MO PD,MO,South Portland ME PD
Macon County NC SO,NC,South Portland ME PD
Grand Chute WI PD,WI,South Portland ME PD
Vandalia OH PD,OH,South Portland ME PD
Spotsylvania County VA SO,VA,South Portland ME PD
New Castle PA PD,PA,South Portland ME PD
Luzerne County PA DA's Office,PA,South Portland ME PD
Monroe CT PD,CT,South Portland ME PD
Ottawa County MI SO,MI,South Portland ME PD
Stevens Point WI PD,WI,South Portland ME PD
